employee_seniority_years,is_contractor,employee_classification,has_foreign_citizenship,has_criminal_record,has_medical_history,total_printed_pages,num_printed_pages_off_hours,total_files_burned,burned_from_other,is_abroad,trip_day_number,hostility_country_level,num_entries,num_unique_campus,late_exit_flag,entry_during_weekend,Actual,Predicted,Risk_Level
11,0,1,0,0,0,3,0,0,0,0,0.0,0,2,1,0,1,1,1,High
22,0,3,0,0,0,0,0,36,0,0,0.0,0,0,0,0,0,0,0,Low
16,0,3,1,1,0,6,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
12,0,3,0,0,1,11,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
13,0,1,0,0,1,0,0,48,0,0,0.0,0,1,1,0,0,0,0,Low
10,0,2,1,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
17,0,2,0,0,0,51,28,0,0,0,0.0,0,0,0,0,0,1,1,High
21,1,2,0,0,0,0,0,0,0,0,0.0,0,1,1,0,1,0,0,Low
8,0,1,1,0,0,68,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
17,0,1,1,0,0,115,0,0,0,0,0.0,0,1,3,0,0,1,1,High
3,0,2,0,0,1,0,0,84,0,0,0.0,0,3,1,0,1,1,1,High
9,0,2,0,0,0,1,0,0,0,0,0.0,0,1,1,0,1,0,0,Low
10,1,3,0,0,0,5,0,0,0,0,0.0,0,1,1,0,1,0,0,Low
15,0,3,0,0,0,0,0,60,0,0,0.0,0,2,1,0,0,1,1,High
8,0,3,0,0,0,0,0,84,0,0,0.0,0,0,0,0,0,1,1,High
9,0,1,0,0,0,26,0,3,0,0,0.0,0,1,1,0,0,0,0,Low
5,1,2,0,0,0,1,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
3,0,2,1,0,0,170,0,0,0,0,0.0,0,1,1,0,1,1,1,High
2,0,1,0,1,0,7,1,0,0,0,0.0,0,0,0,0,0,0,0,Low
15,0,2,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,1,1,High
8,0,2,0,0,0,7,0,5,0,0,0.0,0,0,0,0,0,0,0,Low
18,0,2,0,0,0,0,0,106,0,0,0.0,0,2,1,0,0,1,1,High
13,0,2,0,0,0,0,0,4,0,0,0.0,0,1,1,0,0,0,0,Low
13,0,3,0,0,0,21,9,97,0,0,0.0,0,0,0,0,0,1,1,High
5,0,1,0,1,1,37,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
16,0,1,0,0,0,7,2,0,0,0,0.0,0,0,0,0,0,0,0,Low
2,0,3,0,0,0,0,0,0,0,1,11.0,0,0,0,0,0,1,1,High
31,0,3,1,0,0,0,0,116,0,0,0.0,0,2,1,0,0,1,1,High
1,0,2,0,0,1,0,0,0,0,0,0.0,0,2,1,0,1,0,0,Medium
5,0,1,0,0,0,4,1,8,0,0,0.0,0,2,1,0,0,0,0,Low
9,1,3,0,0,0,0,0,72,0,0,0.0,0,0,0,0,0,1,1,High
26,0,1,0,0,0,11,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
15,0,2,0,0,0,20,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
23,1,3,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
21,0,1,1,0,0,7,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
6,0,3,0,1,0,0,0,0,0,1,4.0,0,0,0,0,0,0,0,Low
20,0,2,0,0,0,0,0,0,0,1,8.0,0,0,0,0,0,0,0,Low
14,0,2,0,0,0,0,0,86,1,0,0.0,0,1,1,0,0,1,1,High
9,0,2,0,0,0,18,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
10,0,2,0,0,0,3,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
18,0,3,0,0,0,2,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
13,0,3,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,1,1,High
6,1,3,0,0,0,5,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
7,0,3,1,0,0,0,0,85,0,0,0.0,0,1,1,0,0,1,1,High
30,0,2,0,0,0,5,1,0,0,0,0.0,0,0,0,0,0,0,0,Low
14,0,2,0,0,0,0,0,123,0,0,0.0,0,0,0,0,0,1,1,High
9,0,2,0,0,0,0,0,8,0,0,0.0,0,1,1,0,0,0,0,Low
6,0,2,0,0,0,0,0,124,0,0,0.0,0,0,0,0,0,1,1,High
18,0,2,0,0,0,0,0,78,0,0,0.0,0,1,1,0,0,1,1,High
11,0,3,1,0,0,1,0,7,0,0,0.0,0,0,0,0,0,0,0,Low
26,0,2,0,0,0,39,15,0,0,0,0.0,0,1,1,0,0,1,1,High
15,0,2,1,0,1,0,0,0,0,0,0.0,0,1,3,0,0,1,1,High
16,0,2,0,0,0,0,0,0,0,0,0.0,0,3,1,0,0,1,1,High
20,0,2,0,0,0,0,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
31,0,3,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
17,0,2,0,0,0,0,0,83,0,0,0.0,0,4,1,0,0,1,1,High
6,0,2,1,0,0,7,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
11,0,1,0,0,0,184,0,64,1,0,0.0,0,0,0,0,0,1,1,High
5,0,1,0,0,0,20,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
1,1,2,1,0,0,0,0,126,0,0,0.0,0,0,0,0,0,1,1,High
15,0,3,0,0,0,74,0,94,0,0,0.0,0,1,1,0,0,1,1,High
4,0,3,0,0,0,0,0,75,1,0,0.0,0,0,0,0,0,1,1,High
19,0,3,0,0,0,4,1,0,0,0,0.0,0,0,0,0,0,0,0,Low
11,0,2,0,0,0,0,0,40,0,0,0.0,0,0,0,0,0,0,0,Low
24,0,1,0,0,1,48,0,0,0,0,0.0,0,1,1,0,1,1,1,High
26,0,2,0,0,0,0,0,91,0,0,0.0,0,1,1,0,1,1,1,High
18,0,2,0,0,0,7,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
31,0,3,1,0,0,0,0,120,0,0,0.0,0,1,1,0,1,1,1,High
7,0,3,1,0,0,0,0,72,0,0,0.0,0,1,1,0,0,1,1,High
8,0,3,0,0,0,50,0,8,0,0,0.0,0,0,0,0,0,0,0,Low
15,1,2,0,0,0,0,0,0,0,1,7.0,0,0,0,0,0,0,0,Low
16,0,3,0,0,1,1,0,0,0,0,0.0,0,1,1,0,1,0,0,Low
17,0,1,1,0,0,31,0,0,0,0,0.0,0,0,0,0,0,1,1,High
9,1,3,0,0,0,0,0,4,0,0,0.0,0,1,1,0,1,1,1,High
23,0,1,0,0,1,22,0,0,0,0,0.0,0,1,1,0,0,1,1,High
13,0,3,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,1,High
15,0,2,1,0,0,0,0,86,0,0,0.0,0,0,0,0,0,1,1,High
22,0,3,0,0,0,0,0,79,0,0,0.0,0,0,0,0,0,1,1,High
24,0,1,0,0,0,0,0,0,0,1,8.0,0,0,0,0,0,1,1,High
12,1,1,0,0,1,6,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
2,0,2,0,0,1,1,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
5,0,2,0,1,0,6,0,0,0,0,0.0,0,0,0,0,0,1,1,High
25,0,2,0,0,0,25,13,96,1,0,0.0,0,0,0,0,0,1,1,High
8,0,1,0,0,0,9,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
15,0,3,0,1,0,17,0,0,0,0,0.0,0,2,1,0,0,1,1,High
16,0,3,0,0,1,0,0,56,0,0,0.0,0,0,0,0,0,1,1,High
16,0,3,0,0,1,0,0,95,0,0,0.0,0,4,1,0,1,1,1,High
20,0,3,1,0,0,125,0,0,0,0,0.0,0,0,0,0,0,1,1,High
9,0,2,0,0,1,323,0,0,0,0,0.0,0,0,0,0,0,1,1,High
16,0,2,0,0,0,0,0,71,0,0,0.0,0,0,0,0,0,1,1,High
15,0,1,0,0,0,31,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
9,1,3,0,0,0,70,48,0,0,0,0.0,0,1,1,0,1,1,1,High
13,0,2,0,0,0,0,0,25,0,0,0.0,0,2,1,0,0,0,0,Low
4,0,3,0,0,0,0,0,101,0,0,0.0,0,2,3,0,0,1,1,High
12,0,2,0,0,0,11,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
24,0,3,0,0,0,0,0,6,0,0,0.0,0,2,1,0,0,0,0,Low
26,0,2,0,0,1,0,0,72,0,0,0.0,0,0,0,0,0,1,1,High
15,0,3,0,0,0,0,0,83,1,0,0.0,0,1,1,0,0,1,1,High
26,0,2,0,0,1,4,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
10,0,2,0,0,0,0,0,72,0,0,0.0,0,0,0,0,0,1,1,High
6,0,2,0,0,0,45,28,0,0,0,0.0,0,1,1,0,0,1,1,High
2,0,2,0,0,1,0,0,5,0,0,0.0,0,3,1,0,0,1,1,High
9,0,1,0,0,0,26,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
19,1,2,1,0,0,0,0,110,0,0,0.0,0,0,0,0,0,1,1,High
9,1,3,0,0,0,0,0,93,0,0,0.0,0,0,0,0,0,1,1,High
14,0,2,0,0,0,0,0,96,1,0,0.0,0,0,0,0,0,1,1,High
6,0,2,0,0,0,36,16,0,0,0,0.0,0,1,1,0,0,1,1,High
7,0,2,0,0,1,7,2,0,0,0,0.0,0,1,1,0,0,0,0,Low
5,0,3,0,0,0,1,0,4,0,0,0.0,0,1,1,0,0,0,0,Low
9,0,2,0,0,0,10,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
19,0,2,0,0,0,23,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
23,0,1,0,0,0,3,0,133,0,0,0.0,0,0,0,0,0,1,1,High
18,0,1,1,0,0,9,1,0,0,0,0.0,0,1,1,0,0,0,0,Low
21,1,2,0,0,0,15,5,0,0,0,0.0,0,0,0,0,0,0,0,Low
8,0,1,1,0,1,20,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
4,0,1,0,1,0,17,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
14,0,3,1,0,1,0,0,0,0,0,0.0,0,1,2,0,1,1,1,High
17,0,2,0,0,0,0,0,91,0,0,0.0,0,1,1,0,0,1,1,High
2,0,2,0,0,1,42,0,0,0,0,0.0,0,1,1,0,0,1,1,High
1,1,2,1,0,0,0,0,98,0,0,0.0,0,1,2,0,1,1,1,High
7,1,2,0,0,0,88,0,0,0,0,0.0,0,0,0,0,0,1,1,High
8,0,3,0,0,0,6,2,0,0,0,0.0,0,0,0,0,0,1,1,High
4,0,3,0,0,0,13,8,71,0,0,0.0,0,0,0,0,0,1,1,High
1,0,2,0,0,1,9,2,0,0,0,0.0,0,0,0,0,0,0,0,Low
0,0,2,0,0,0,133,49,0,0,0,0.0,0,0,0,0,0,1,1,High
5,0,1,0,0,0,9,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
2,0,4,0,0,0,0,0,9,0,0,0.0,0,2,1,0,0,1,1,High
8,0,3,0,0,0,0,0,0,0,0,0.0,0,1,3,0,0,1,1,High
10,1,2,0,0,0,29,0,82,1,0,0.0,0,0,0,0,0,1,1,High
7,0,3,0,0,0,0,0,0,0,1,7.0,0,0,0,0,0,0,0,Low
6,0,1,0,0,0,35,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
24,0,1,0,0,0,44,0,7,0,0,0.0,0,0,0,0,0,1,1,High
10,0,2,0,0,1,0,0,6,0,0,0.0,0,1,1,0,0,1,1,High
7,1,2,0,0,0,16,0,0,0,0,0.0,0,1,1,0,1,1,1,High
14,0,2,0,0,0,0,0,107,1,0,0.0,0,2,1,0,0,1,1,High
7,0,3,1,0,0,0,0,0,0,0,0.0,0,2,2,0,0,1,1,High
13,0,3,0,0,0,0,0,0,0,0,0.0,0,1,1,0,1,1,1,High
16,0,3,0,0,1,22,0,101,0,0,0.0,0,2,1,0,0,1,1,High
14,0,2,0,0,1,0,0,119,0,0,0.0,0,0,0,0,0,1,1,High
4,0,2,0,0,0,0,0,40,0,0,0.0,0,1,1,0,0,0,0,Low
1,0,2,0,0,0,18,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
13,0,2,0,0,0,0,0,81,0,0,0.0,0,1,2,0,0,1,1,High
10,1,2,0,0,0,0,0,56,0,0,0.0,0,1,1,0,1,1,1,High
23,0,2,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
9,0,1,0,0,0,22,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
15,0,2,1,0,1,0,0,78,0,0,0.0,0,1,1,0,0,1,1,High
25,0,3,0,0,0,0,0,37,0,0,0.0,0,0,0,0,0,0,0,Low
15,0,2,0,0,0,0,0,75,0,0,0.0,0,1,1,0,0,1,1,High
12,0,3,1,0,0,84,55,0,0,0,0.0,0,2,2,0,1,0,1,High
16,1,1,0,0,0,8,2,0,0,0,0.0,0,1,1,0,0,0,0,Low
21,0,1,0,0,0,5,0,9,0,0,0.0,0,1,1,0,0,0,0,Low
13,0,1,0,0,0,346,145,55,0,0,0.0,0,1,1,0,0,1,1,High
3,0,2,1,0,0,13,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
23,0,3,0,0,0,74,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
3,0,2,1,0,0,90,0,9,0,0,0.0,0,0,0,0,0,1,1,High
10,1,1,0,0,0,0,0,0,0,1,2.0,0,0,0,0,0,0,0,Low
14,0,2,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,1,1,Medium
2,0,1,0,0,0,6,0,47,0,0,0.0,0,0,0,0,0,0,0,Low
20,0,3,0,0,0,0,0,6,0,0,0.0,0,1,1,0,0,0,0,Low
15,0,3,0,0,1,5,1,0,0,0,0.0,0,1,1,0,0,0,0,Low
18,0,2,0,0,0,7,2,0,0,0,0.0,0,0,0,0,0,1,1,High
26,0,2,0,0,0,28,0,63,1,0,0.0,0,2,1,0,1,1,1,High
13,0,2,0,0,1,35,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
16,0,3,1,0,0,47,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
14,0,2,0,0,0,0,0,6,0,0,0.0,0,0,0,0,0,0,0,Low
18,0,2,0,0,0,0,0,0,0,0,0.0,0,1,1,0,1,0,1,Medium
14,0,2,0,0,1,0,0,73,0,0,0.0,0,1,1,0,0,1,1,High
15,0,2,0,0,0,0,0,0,0,0,0.0,0,3,1,0,1,1,1,High
18,0,2,0,0,1,6,1,3,0,0,0.0,0,0,0,0,0,0,0,Low
16,0,2,1,0,0,0,0,0,0,0,0.0,0,2,1,0,0,1,1,High
4,0,3,0,0,0,102,0,75,0,0,0.0,0,0,0,0,0,1,1,High
11,1,1,0,0,0,39,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
18,0,1,0,0,0,23,0,0,0,0,0.0,0,1,1,0,0,1,1,High
22,0,3,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,1,Medium
13,0,2,0,0,0,0,0,86,0,0,0.0,0,1,1,0,0,1,1,High
16,0,1,0,0,0,32,21,0,0,0,0.0,0,0,0,0,0,1,1,High
16,0,3,0,0,1,0,0,0,0,0,0.0,0,1,1,0,0,1,1,High
19,0,1,0,0,0,73,0,0,0,0,0.0,0,1,1,0,0,1,1,High
7,0,3,0,0,0,0,0,0,0,1,5.0,0,0,0,0,0,0,0,Low
15,0,2,1,0,0,0,0,4,0,0,0.0,0,1,1,0,0,0,1,Medium
10,0,3,1,0,0,2,0,30,0,0,0.0,0,1,1,0,0,0,0,Low
6,0,2,0,0,0,17,0,0,0,0,0.0,0,1,1,0,1,1,1,High
13,0,1,0,0,0,219,0,0,0,0,0.0,0,1,1,0,0,1,1,High
13,0,3,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,1,1,Medium
15,0,2,0,1,0,2,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
14,0,3,1,0,1,0,0,80,1,0,0.0,0,0,0,0,0,1,1,High
3,0,2,1,0,0,22,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
29,0,1,0,0,1,0,0,58,0,0,0.0,0,0,0,0,0,0,0,Low
16,1,1,0,0,0,0,0,22,0,0,0.0,0,1,1,0,0,1,1,High
7,0,3,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
4,1,3,0,0,0,0,0,0,0,0,0.0,0,1,1,0,1,1,1,High
19,0,1,0,0,0,41,17,0,0,0,0.0,0,1,1,0,1,1,1,High
14,0,2,0,0,0,0,0,111,0,0,0.0,0,0,0,0,0,1,1,High
2,0,2,0,0,1,0,0,0,0,1,9.0,3,0,0,0,0,1,1,High
7,0,3,1,0,0,0,0,100,0,0,0.0,0,2,1,0,1,1,1,High
19,1,2,1,0,0,0,0,5,0,0,0.0,0,3,1,0,0,1,1,High
23,0,1,0,0,1,40,14,0,0,0,0.0,0,1,3,0,0,1,1,High
18,0,2,0,0,0,0,0,115,0,0,0.0,0,1,1,0,0,1,1,High
4,0,2,0,0,0,0,0,40,0,0,0.0,0,0,0,0,0,0,0,Low
11,0,2,0,0,0,0,0,0,0,0,0.0,0,2,1,0,1,0,0,Low
16,0,3,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
19,0,1,0,0,0,9,0,40,1,0,0.0,0,1,1,0,0,1,1,High
9,0,2,0,0,1,67,26,0,0,0,0.0,0,0,0,0,0,1,1,High
5,0,2,0,0,1,23,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
7,0,2,0,0,0,0,0,5,0,0,0.0,0,0,0,0,0,0,0,Low
15,0,2,0,0,0,0,0,69,0,0,0.0,0,1,1,0,1,1,1,High
5,0,2,0,0,0,6,0,38,0,0,0.0,0,2,1,0,0,1,1,High
14,0,3,1,0,1,26,13,97,1,0,0.0,0,1,1,0,0,1,1,High
9,0,2,0,0,0,0,0,82,1,0,0.0,0,0,0,0,0,1,1,High
8,1,1,0,1,0,18,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
17,0,2,0,0,0,26,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
12,0,3,1,0,0,33,0,17,0,0,0.0,0,1,1,0,1,1,1,High
10,0,2,1,0,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
19,0,2,0,0,1,0,0,72,0,0,0.0,0,0,0,0,0,1,1,High
17,0,2,1,0,0,0,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
12,0,2,0,0,0,6,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
1,0,1,0,0,1,28,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
15,0,2,0,0,0,0,0,37,0,0,0.0,0,0,0,0,0,0,0,Low
25,0,1,0,0,0,0,0,0,0,0,0.0,0,1,3,0,1,1,1,High
13,0,3,0,0,0,0,0,77,1,0,0.0,0,1,1,0,0,1,1,High
24,0,2,0,0,0,0,0,92,0,0,0.0,0,1,1,0,0,1,1,High
22,0,3,0,0,0,0,0,101,0,0,0.0,0,2,1,0,0,1,1,High
19,0,2,0,1,0,0,0,36,0,0,0.0,0,0,0,0,0,0,0,Low
14,0,2,0,0,0,0,0,0,0,0,0.0,0,2,1,0,0,1,0,Medium
9,0,1,0,0,0,0,0,33,0,0,0.0,0,1,1,0,0,0,0,Low
15,0,2,1,0,1,0,0,7,0,0,0.0,0,2,1,0,1,1,1,High
21,1,3,0,0,1,12,1,0,0,0,0.0,0,2,1,0,0,0,0,Low
21,0,1,0,0,0,1,0,5,0,0,0.0,0,1,1,0,0,1,1,High
20,0,1,0,0,0,10,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
9,1,3,0,0,0,0,0,8,0,0,0.0,0,3,1,0,1,1,1,High
21,0,1,1,0,0,16,3,0,0,0,0.0,0,1,1,0,0,0,0,Low
9,0,2,0,0,0,0,0,0,0,0,0.0,0,1,1,0,1,1,1,Medium
15,0,2,0,0,0,0,0,9,0,0,0.0,0,1,2,0,0,1,1,High
20,0,2,0,0,0,0,0,9,0,0,0.0,0,0,0,0,0,0,0,Low
11,0,1,0,0,0,12,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
4,0,2,0,0,0,0,0,5,0,0,0.0,0,0,0,0,0,0,0,Low
5,0,2,1,0,0,0,0,10,0,0,0.0,0,1,1,0,0,0,0,Low
20,0,2,0,0,0,3,0,7,0,0,0.0,0,1,1,0,0,0,0,Low
7,1,2,0,0,0,28,0,0,0,0,0.0,0,0,0,0,0,1,1,High
12,0,2,0,0,0,0,0,99,1,0,0.0,0,1,1,0,0,1,1,High
13,0,2,0,0,0,0,0,0,0,1,13.0,0,0,0,0,0,0,0,Low
23,0,2,1,0,1,0,0,77,1,0,0.0,0,0,0,0,0,1,1,High
16,1,1,0,0,0,0,0,10,0,0,0.0,0,2,1,0,1,1,1,High
4,0,1,0,0,0,0,0,111,0,0,0.0,0,2,1,0,0,1,1,High
25,0,2,0,0,0,5,1,0,0,0,0.0,0,1,1,0,0,0,0,Low
1,0,3,0,0,0,0,0,62,0,0,0.0,0,1,1,0,0,1,1,High
9,0,3,0,0,1,0,0,3,0,0,0.0,0,1,1,0,0,0,0,Low
17,0,3,0,0,0,0,0,49,0,0,0.0,0,1,1,0,0,0,0,Low
2,0,2,1,0,0,200,0,0,0,0,0.0,0,4,1,0,0,1,1,High
10,0,2,0,0,1,4,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
16,0,2,0,0,0,12,0,0,0,0,0.0,0,1,1,0,1,1,1,High
12,1,1,0,0,0,11,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
12,1,3,1,0,1,6,0,0,0,0,0.0,0,1,1,0,1,0,0,Low
21,1,3,0,0,1,5,1,0,0,0,0.0,0,1,1,0,0,0,0,Low
19,0,2,0,0,1,0,0,111,1,0,0.0,0,1,1,0,0,1,1,High
26,0,1,0,1,0,0,0,47,0,0,0.0,0,1,1,0,0,0,0,Low
1,1,2,1,0,0,0,0,85,1,0,0.0,0,0,0,0,0,1,1,High
7,0,2,0,0,0,15,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
7,0,2,0,0,0,0,0,41,0,0,0.0,0,0,0,0,0,0,0,Low
21,0,2,1,0,0,0,0,0,0,0,0.0,0,2,1,0,1,1,1,High
5,0,3,0,0,0,0,0,4,0,0,0.0,0,0,0,0,0,0,0,Low
23,0,1,0,0,1,4,2,16,0,0,0.0,0,2,1,0,0,1,1,High
6,0,2,0,0,0,1,0,107,0,0,0.0,0,2,1,0,0,1,1,High
5,0,2,0,0,0,4,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
20,0,2,1,0,0,0,0,37,0,0,0.0,0,0,0,0,0,0,0,Low
19,0,1,0,0,0,106,0,0,0,0,0.0,0,1,3,0,0,1,1,High
9,0,1,0,0,0,14,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
0,0,2,0,0,0,29,0,0,0,0,0.0,0,1,1,0,0,0,0,Low
6,0,3,0,0,0,12,2,39,0,0,0.0,0,0,0,0,0,0,0,Low
9,0,2,0,0,0,44,0,84,0,0,0.0,0,0,0,0,0,1,1,High
3,0,2,0,0,1,0,0,90,1,0,0.0,0,1,1,0,0,1,1,High
15,0,2,0,0,0,0,0,97,1,0,0.0,0,1,1,0,0,1,1,High
0,0,2,0,0,0,16,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
18,0,3,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,Low
0,1,2,0,0,0,0,0,46,0,0,0.0,0,0,0,0,0,0,0,Low
13,0,3,0,0,0,0,0,80,1,0,0.0,0,2,1,0,0,1,1,High
6,0,3,1,0,0,9,0,0,0,0,0.0,0,2,1,0,0,0,0,Low
15,0,2,0,0,0,0,0,119,0,0,0.0,0,1,1,0,1,1,1,High
